,ID,rms,mean,kurtosis,SD,skewness,rms2,mean2,kurtosis2,SD2,skewness2
0,0,124.96416083732142,102.05809128630706,1.2139992470634526,72.26240339675235,0.8718312084635882,11.178736996518051,48.518672199170126,3.6445771169500487,42.31627769818133,1.4242133345393697
1,1,125.07116646332969,102.31535269709543,1.2369207535492661,72.08276588972281,0.8734963903162611,11.18352209562487,48.518672199170126,3.6445771169500487,42.31627769818133,1.42421333453937
2,2,125.25573839150046,102.66804979253112,1.2565124482634564,71.90078360674643,0.8710058594206058,11.191771012288468,48.211618257261414,3.6407063474731833,42.39900782392985,1.4305011926149729
3,3,125.2544132946721,102.63485477178423,1.2520801563566835,71.94604075335201,0.8681820302189016,11.191711812527702,48.406639004149376,3.5495875907327443,42.51520068250068,1.411324054284924
4,4,125.48635673307707,103.03319502074689,1.2664778473821263,71.77998021848414,0.862890885102737,11.202069305850463,48.178423236514526,3.5264284845616753,42.610998570441,1.4128277215138285
5,5,125.75694465368784,103.5643153526971,1.2927058090313164,71.48738971291932,0.8638725601277015,11.21414038853125,48.053941908713696,3.518564015601984,42.65238850068397,1.4161556821515067
6,6,126.03538000279181,104.0954356846473,1.3178968220006304,71.20459971621838,0.8641124784002867,11.22654800028895,47.933609958506224,3.5136525802485314,42.68776843543398,1.4200484712173265
7,7,126.57336776504721,104.83402489626556,1.3019101761439895,71.07464858032043,0.8549245648077249,11.250483001411416,47.76348547717842,3.5077091175901645,42.73715785044863,1.4251591887384256
8,8,126.83332742642247,105.35684647302905,1.3323387914481817,70.76302327732446,0.8577454954776434,11.26203034210184,47.44398340248963,3.598209533512269,42.6477575502674,1.4488063618474107
9,9,126.16627703384496,104.67634854771784,1.3963845510869755,70.5794692523589,0.8783144628836842,11.232376286158017,47.643153526970956,3.6332160073577375,42.53720485269922,1.4518491669764553
10,10,126.07784264746523,104.56016597510373,1.3986876414962381,70.5937136481642,0.8825903642388035,11.228439012056183,47.57676348547718,3.6089539440278733,42.59923854344497,1.4460712449218294
11,11,125.97948196241589,104.45643153526972,1.4093273528612302,70.57158872766246,0.8875943942346187,11.224058177077303,47.614107883817425,3.6139755234600415,42.58242556272457,1.4456895425519385
12,12,125.89289394913426,104.38174273858921,1.4232549658390328,70.5273847425018,0.8913214231598351,11.220200263325706,47.634854771784234,3.607299563334071,42.588724408576205,1.4437200256057932
13,13,125.89941977791216,104.45643153526972,1.4343970890723172,70.42797125820347,0.8975587842228311,11.220491066700786,47.12033195020747,3.7701365628321533,41.62398699335136,1.4237489590213173
14,14,126.40783958565898,105.01659751037344,1.3907416656578508,70.50590795605827,0.8785148409662765,11.243124102564153,46.85477178423236,3.7690472814016474,41.68792376158673,1.4314485406502482
15,15,126.50601481444416,105.29875518672199,1.4243488465253042,70.25971135800837,0.8857990561903315,11.247489267140653,46.85477178423236,3.7690472814016465,41.68792376158673,1.4314485406502482
